text,intent,sentiment,user_type
"I have a concern about, cost of Prepaid Plus 20GB is too high for international usage.",Product Inquiry,Frustrated,New User
"Good morning, billing charges for ZENDEnterprise Dedicated seem incorrect in India for international usage.",Billing,Frustrated,Existing User
"Hi team, ZENDFleet IoT offers great value for money for enterprise usage.",Product Inquiry,Satisfied,Existing User
"I wanted to check, cost of Postpaid Silver is too high after my recent upgrade.",Product Inquiry,Frustrated,New User
"Hi team, features included in ZENDBiz Connect 500 for my office network.",Product Inquiry,Informational,New User
"I need assistance regarding, ZENDSmart Traffic offers great value for money since last week.",Product Inquiry,Satisfied,New User
"Hope you’re doing well, network performance has been excellent on ZENDSmart Lighting for enterprise usage.",Technical,Satisfied,Existing User
"I have a concern about, billing charges for ZENDOffice Net 500 seem incorrect in Thailand after installation.",Billing,Frustrated,Existing User
"I need assistance regarding, refund eligibility for ZENDFiber Home 1 Gbps since last week.",Refund,Informational,Existing User
"Hi team, internet speed is extremely slow on Postpaid Platinum in Thailand after installation.",Technical,Frustrated,New User
"Can you please confirm, refund not processed for ZENDBiz Connect 1G for my office network.",Refund,Frustrated,Existing User
"I need assistance regarding, features included in ZENDArchive Storage for my home connection.",Product Inquiry,Informational,New User
"Kindly help me with, installation time for Postpaid Platinum in Thailand for enterprise usage.",Technical,Informational,Existing User
"I would like to know, internet speed is extremely slow on ZENDSmart Parking in India under my current subscription.",Technical,Frustrated,Existing User
"Hi team, cost of ZENDCloud VM Pro is too high for my office network.",Product Inquiry,Frustrated,New User
"I have a concern about, explain billing cycle for ZENDOffice Net 1G as part of my annual plan.",Billing,Informational,New User
"Can you please confirm, billing charges for ZENDFleet IoT seem incorrect in Thailand as part of my annual plan.",Billing,Frustrated,Existing User
"Good morning, refund eligibility for ZENDEnterprise Dedicated after my recent upgrade.",Refund,Informational,New User
"Can you please confirm, installation time for ZENDFleet IoT in India during peak hours.",Technical,Informational,New User
"Hi team, billing charges for Postpaid Silver seem incorrect in India under my current subscription.",Billing,Frustrated,Existing User
"Can you please confirm, how to raise complaint for Prepaid Plus 20GB for my home connection.",Complaint,Informational,New User
"Can you please confirm, refund not processed for Prepaid Basic 5GB since last week.",Refund,Frustrated,Existing User
"Hi team, billing charges for ZENDCloud VM Pro seem incorrect in Singapore for my home connection.",Billing,Frustrated,Existing User
"Hello support, refund not processed for Prepaid Basic 5GB after my recent upgrade.",Refund,Frustrated,Existing User
"Hi team, billing charges for ZENDEnterprise Ultra seem incorrect in Thailand after installation.",Billing,Frustrated,New User
"I would like to know, price of ZENDCloud VM Enterprise in Thailand for international usage.",Product Inquiry,Informational,New User
"Kindly help me with, explain billing cycle for ZENDOffice Net 1G for enterprise usage.",Billing,Informational,Existing User
"Kindly help me with, installation time for ZENDBiz Connect 500 in USA for my home connection.",Technical,Informational,Existing User
"Kindly help me with, my ZENDStorage 1TB connection keeps disconnecting in Singapore for international usage.",Technical,Frustrated,Existing User
"Hello support, price of ZENDCloud VM Pro in Thailand since last week.",Product Inquiry,Informational,Existing User
"I have a concern about, ZENDCloud VM Enterprise offers great value for money for enterprise usage.",Product Inquiry,Satisfied,New User
"I wanted to check, billing charges for ZENDSmart Lighting seem incorrect in India for international usage.",Billing,Frustrated,Existing User
"I need assistance regarding, cost of ZENDFiber Home 300 Mbps is too high for enterprise usage.",Product Inquiry,Frustrated,Existing User
"Hope you’re doing well, refund not processed for ZENDBiz Connect 1G for my office network.",Refund,Frustrated,New User
"Kindly help me with, ZENDFleet IoT offers great value for money after my recent upgrade.",Product Inquiry,Satisfied,New User
"I have a concern about, internet speed is extremely slow on ZENDSmart Traffic in Singapore after installation.",Technical,Frustrated,Existing User
"Kindly help me with, explain billing cycle for ZENDEnterprise Dedicated since last week.",Billing,Informational,Existing User
"I wanted to check, ZENDFiber Home 100 Mbps offers great value for money for my office network.",Product Inquiry,Satisfied,New User
"I would like to know, network performance has been excellent on ZENDFleet IoT for my home connection.",Technical,Satisfied,Existing User
"I wanted to check, refund not processed for Prepaid Basic 5GB as part of my annual plan.",Refund,Frustrated,Existing User
"Good morning, network performance has been excellent on Postpaid Silver during peak hours.",Technical,Satisfied,Existing User
"Kindly help me with, installation time for ZENDBiz Connect 1G in India during peak hours.",Technical,Informational,Existing User
"Hi team, cost of ZENDOffice Net 500 is too high after my recent upgrade.",Product Inquiry,Frustrated,New User
"I would like to know, internet speed is extremely slow on ZENDBiz Connect 1G in Singapore for my home connection.",Technical,Frustrated,Existing User
"Kindly help me with, billing charges for ZENDOffice Net 200 seem incorrect in USA for my home connection.",Billing,Frustrated,Existing User
"Good morning, internet speed is extremely slow on ZENDBiz Connect 1G in Thailand after installation.",Technical,Frustrated,Existing User
"I need assistance regarding, installation time for ZENDBiz Connect 500 in India for my home connection.",Technical,Informational,Existing User
"I wanted to check, cost of ZENDSmart Parking is too high as part of my annual plan.",Product Inquiry,Frustrated,New User
