Time,User Type,Query,Intent,Sentiment,Priority,Status
2026-02-17 12:54:48.784406,New User,"Hope you’re doing well, very unhappy with ZENDArchive Storage service for enterprise usage.",Complaint,Frustrated,High,Resolved
2026-02-17 12:54:48.787468,Existing User,"Hello support, internet speed is extremely slow on ZENDStorage 1TB in USA for enterprise usage.",Technical,Frustrated,High,Resolved
2026-02-17 12:54:48.788484,New User,"Kindly help me with, very unhappy with ZENDStorage 10TB service after installation.",Complaint,Frustrated,High,Resolved
2026-02-17 12:54:48.788484,New User,"Good morning, very unhappy with ZENDStorage 10TB service for enterprise usage.",Complaint,Frustrated,High,Resolved
2026-02-17 12:54:48.790561,Existing User,"Can you please confirm, cost of ZENDSmart Traffic is too high for enterprise usage.",Product Inquiry,Frustrated,High,Resolved
2026-02-17 12:54:48.791556,New User,"Hope you’re doing well, refund not processed for ZENDOffice Net 500 for international usage.",Refund,Frustrated,High,Resolved
2026-02-17 12:54:48.792473,New User,"I have a concern about, billing charges for ZENDStorage 1TB seem incorrect in India for international usage.",Billing,Frustrated,High,Resolved
2026-02-17 12:54:48.793472,New User,"I wanted to check, very unhappy with ZENDSmart Parking service for international usage.",Complaint,Frustrated,High,Resolved
2026-02-17 12:54:48.795471,Existing User,"Good morning, internet speed is extremely slow on ZENDBiz Connect 500 in India for enterprise usage.",Technical,Frustrated,High,Resolved
2026-02-17 12:54:48.798473,New User,"Can you please confirm, cost of ZENDStorage 1TB is too high during peak hours.",Product Inquiry,Frustrated,High,Resolved
2026-02-17 12:54:48.801480,Existing User,"I need assistance regarding, refund not processed for ZENDSmart Parking after my recent upgrade.",Refund,Frustrated,High,Resolved
2026-02-17 12:54:48.804479,New User,"I need assistance regarding, refund not processed for Postpaid Platinum for my office network.",Refund,Frustrated,High,Resolved
2026-02-17 12:54:48.805796,Existing User,"Hi team, internet speed is extremely slow on ZENDFiber Home 100 Mbps in USA after my recent upgrade.",Technical,Frustrated,High,Resolved
2026-02-17 12:54:48.806902,New User,"Hello support, billing charges for ZENDBiz Connect 100 seem incorrect in Thailand for my home connection.",Billing,Frustrated,High,Resolved
